CHAIN,PLATFORM,BLOCK_DATE,TX_COUNT,IN_TOKEN_ADDRESS,TOKEN,PRICE,SELL_SWAP,SELL_USD,BUY_SWAP,BUY_USD,NET_SWAP,NET_USD
osmosis,osmosis-dex,2023-11-29,49,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,ROWAN,0.0006036233047,-2761742.95511653,-1667.052409255,439.147675397,0.2650797711,-2761303.80744114,-1666.787329484
osmosis,osmosis-dex,2023-11-29,12,ibc/CE5BFF1D9BADA03BB5CCA5F56939392A761B53A10FBD03B37506669C3218D3B2,HASH,0.0105702635,-26207.988640082,-277.025345733,0,0,-26207.988640082,-277.025345733
osmosis,osmosis-dex,2023-11-29,17,ibc/71B441E27F1BBB44DD0891BCD370C2794D404D60A4FFE5AECCD9B1E28BC89805,USDT.grv,0.9882436654,-44.279499,-43.758934393,23.715975,23.437162062,-20.563524,-20.321772331
osmosis,osmosis-dex,2023-11-29,32,factory/osmo1s794h9rxggytja3a4pmwul53u98k06zy2qtrdvjnfuxruh7s8yjs6cyxgd/umbrn,MBRN,0.1404535032,-5203.704982,-730.878594275,0,0,-5203.704982,-730.878594275
osmosis,osmosis-dex,2023-11-29,14,ibc/6329DD8CF31A334DD5BE3F68C846C9FE313281362B37686A62343BAC1EB1546D,BUSD,0.9920941404,-115.32436914,-114.412630874,132.734942289,131.685558477,17.410573149,17.272927603
osmosis,osmosis-dex,2023-11-29,6,ibc/47EE224A9B33CF0ABEAC82106E52F0F6E8D8CEC5BA80B9D9A6F55172CBB0177D,ECH,0.00001181098135,-241419.93040569,-2.851406295,887810.181971303,10.485909499,646390.251565613,7.634503204
osmosis,osmosis-dex,2023-11-29,107,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,XKI,0.01523712667,-62852.204968,-957.687008873,44584.936047,679.346318326,-18267.268921,-278.340690548
osmosis,osmosis-dex,2023-11-29,676,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,JUNO,0.444306327,-157376.270035,-69923.272491451,89050.372672,39565.643997184,-68325.897363,-30357.628494267
osmosis,osmosis-dex,2023-11-29,87,ibc/95C9B5870F95E21A242E6AF9ADCB1F212EE4A8855087226C36FBE43FC41A77B8,XPLA,0.2151240418,-58993.653389358,-12690.953160504,0,0,-58993.653389358,-12690.953160504
osmosis,osmosis-dex,2023-11-29,88,ibc/573FCD90FACEE750F55A8864EF7D38265F07E5A9273FA0E8DAFD39951332B580,MARS,0.0937532184,-51613.700237,-4838.950510803,56953.408501,5339.565345876,5339.708264,500.614835072
osmosis,osmosis-dex,2023-11-29,58,ibc/9F9B07EF9AD291167CF5700628145DE1DEB777C2CFC7907553B24446515F6D0E,USDC.grv,1.000749728,-2004.686174,-2006.189144134,798.866233,799.465165693,-1205.819941,-1206.723978441
osmosis,osmosis-dex,2023-11-29,7771,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,TIA,6.302488101,-174703.539197,-1101066.97703423,16976.959659,106997.086246139,-157726.579538,-994069.890788091
osmosis,osmosis-dex,2023-11-29,6,ibc/6A6174468758D207DD2D880363BF699C6568A29E87651337AEDAFD9E69EA7E58,"null","null",0,"null",0,"null",0,"null"
